data;zeinr;n_pozycji;n_zielony;n_zolty;n_czerwony;odsetek_przegladu_proc;n_flag_ai;n_obnizone_ai;n_werdykt_ok_czl;n_blad_czl;czas_na_pozycje
2026-07-08;SL10582645;11;0;11;0;100.0;11;0;0;0;
2026-07-08;38_1847_ZUBEHOR_CALE;165;100;54;11;39.4;65;0;0;0;
