posn;layer;scale;out_w;out_h;wykaz_w;wykaz_h;n_holes;n_bend;n_absorbed;n_geom;n_axis;n_dashed;n_annot;n_clusters;src_x1;src_y1;src_x2;src_y2;status;file;kategoria;technika;pewnosc;n_kandydatow;qc_semafor;qc_powody
1;(bez warstw, all, gap=8);5.0;1710.0;346.88;1710.0;347.0;4;0;5;3101;24;0;197;11;47.74;179.85;389.74;249.23;OK (TRYB BEZ WARSTW);SL40851345_p1.dxf;wymiary;bbox-ze-skala gap=8;0.6;7;ZOLTY;[6.giecie] w widoku zrodlowym 4 linii koloru 6 (giecie?), na warstwie GIECIE 0 - zgubione giecie?
2;102;5.0;420.0;160.0;420.0;160.0;4;0;0;3101;24;0;197;7;281.85;100.75;365.85;132.75;OK;SL40851345_p2.dxf;struktura;warstwa-102;0.85;7;ZIELONY;
